title,text,subject,date
AI Regulation Bill Passed in European Parliament,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",techNews,"December 04, 2023"
Breakthrough in Renewable Energy Achieved in 2023,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",worldNews,"January 10, 2021"
2023 Marks Record High for Space Exploration Achievements,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",scienceNews,"May 27, 2020"
Breakthrough in Renewable Energy Achieved in 2023,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",scienceNews,"August 08, 2020"
Global Climate Summit 2023 Concludes with Historic Agreements,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",scienceNews,"August 18, 2021"
AI Regulation Bill Passed in European Parliament,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"May 17, 2022"
NASA Successfully Launches Artemis II Mission to Moon,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",economyNews,"August 05, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",worldNews,"April 05, 2022"
2023 Marks Record High for Space Exploration Achievements,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"December 10, 2020"
Breakthrough in Renewable Energy Achieved in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",healthNews,"June 24, 2023"
2023 Marks Record High for Space Exploration Achievements,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,healthNews,"January 25, 2023"
NASA Successfully Launches Artemis II Mission to Moon,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",healthNews,"June 10, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",healthNews,"March 18, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",economyNews,"February 18, 2020"
AI Regulation Bill Passed in European Parliament,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",scienceNews,"December 17, 2020"
Breakthrough in Renewable Energy Achieved in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",healthNews,"July 13, 2023"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",economyNews,"September 09, 2020"
Global Inflation Rates Show Signs of Slowing in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"March 14, 2023"
Historic Peace Agreement Reached in Middle East Conflict,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"December 23, 2023"
Historic Peace Agreement Reached in Middle East Conflict,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",healthNews,"January 10, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",scienceNews,"July 05, 2021"
United Nations Calls for Global Action on Plastic Pollution,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",scienceNews,"February 03, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,economyNews,"June 19, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",healthNews,"October 15, 2020"
NASA Successfully Launches Artemis II Mission to Moon,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",worldNews,"February 14, 2020"
United Nations Calls for Global Action on Plastic Pollution,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",techNews,"June 16, 2020"
NASA Successfully Launches Artemis II Mission to Moon,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",scienceNews,"December 16, 2021"
Global Inflation Rates Show Signs of Slowing in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,healthNews,"January 04, 2020"
Historic Peace Agreement Reached in Middle East Conflict,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",worldNews,"September 16, 2020"
Global Inflation Rates Show Signs of Slowing in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"January 20, 2020"
AI Regulation Bill Passed in European Parliament,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",economyNews,"July 06, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",economyNews,"May 26, 2023"
2023 Marks Record High for Space Exploration Achievements,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",techNews,"April 18, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",scienceNews,"April 07, 2023"
Global Inflation Rates Show Signs of Slowing in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",worldNews,"September 21, 2023"
United Nations Calls for Global Action on Plastic Pollution,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",healthNews,"October 24, 2022"
2023 Marks Record High for Space Exploration Achievements,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",economyNews,"May 01, 2022"
Global Inflation Rates Show Signs of Slowing in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",worldNews,"February 17, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",worldNews,"February 07, 2022"
Global Inflation Rates Show Signs of Slowing in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",scienceNews,"January 20, 2020"
Breakthrough in Renewable Energy Achieved in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"March 28, 2023"
NASA Successfully Launches Artemis II Mission to Moon,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"September 25, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"October 18, 2023"
United Nations Calls for Global Action on Plastic Pollution,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",economyNews,"January 06, 2023"
2023 Marks Record High for Space Exploration Achievements,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",healthNews,"May 19, 2021"
Global Inflation Rates Show Signs of Slowing in 2023,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",techNews,"October 01, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",worldNews,"July 02, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",healthNews,"June 12, 2023"
2023 Marks Record High for Space Exploration Achievements,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",economyNews,"March 10, 2020"
AI Regulation Bill Passed in European Parliament,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",scienceNews,"February 22, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"June 16, 2020"
United Nations Calls for Global Action on Plastic Pollution,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",healthNews,"January 17, 2023"
Global Inflation Rates Show Signs of Slowing in 2023,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",techNews,"August 06, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",worldNews,"March 12, 2020"
Historic Peace Agreement Reached in Middle East Conflict,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,economyNews,"October 04, 2023"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",techNews,"July 19, 2021"
Breakthrough in Renewable Energy Achieved in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,healthNews,"February 03, 2020"
International Efforts to Combat Cybercrime Intensify in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"October 15, 2020"
